source_file,source_locator,source_record_id,source_date,raw_mention,target_schedule,activity_id,match_type,hard_negative_kind,lexical_overlap_score,overlap_token_count,data_origin,is_real,source_artifact_id,annotation_origin,verification_status
raw/constructcie/constructcie.json,line:89,134951.015,,"He installed a secondary fall restraint, then removed the primary fall restraint and leaned into the secondary restraint.",wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.641879,3,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:168,130315.015,,He was on a stepladder and removing fluorescent lighting fixtures in preparation for installing LED lighting fixtures.,wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.629504,3,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:92,134541.015,,"The temporary railings had been removed, and the iron railing contractor had not yet arrived to install permanent railings.",wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.606575,3,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:88,132982.015,,The employees had removed their fall protection.,wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.606197,2,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:475,101836.015,,They were preparing to install a precast manhole in a trench.,wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.577662,2,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:359,105800.015,,He was on the second floor and using a rivet buster to remove concrete.,wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.576634,2,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:474,98835.015,,He received an electric shock.,wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.567761,1,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:268,121644.015,,"To remove large gauge copper electrical wiring from an electrical panel, Employee #1, the supervisor, used a hand-held battery powered grinder with a cutting wheel installed.",wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.549573,3,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:462,99641.015,,"Coworker #1 was operating excavation equipment, and Employee #1 was working in the excavation made to access and remove the existing pipe and install new pipe.",wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.544783,3,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
raw/constructcie/constructcie.json,line:452,100195.015,,"As Employee #1 removed the v-belt, the boiler's drive system activated.",wsdot_c8078_2011-02-14,,no_match,cross_source_constructcie_lexical_confuser,0.537872,2,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,programmatic_cross_source_rule,rule_based_unverified
