record_id,accident_type,narrative,data_origin,is_real,source_artifact_id,source_row,annotation_origin,verification_status
162549.015,struck-by,"Employee #1 was working for a site preparation contractor. Employee #1 was driving a semi-truck with a trailer filled with gravel after leaving a stone quarry. The semi-truck struck an embankment causing fatal injuries to employee #1. According to a report from the state highway patrol, two of the truck's brakes were not working at the time of the accident.",real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,1,source_published_annotation,source_published_annotation_unreviewed
162301.015,caught-in/between,"Employee #1 was working for an elevator installation and maintenance contractor. Employee #1 was troubleshooting and performing maintenance on a two-story residential ADA elevator. The elevator was on the second floor at the time of the incident, and Employee#1 disengaged the safety interlock on the outer elevator door on the first floor while the elevator was on the second floor. Employee#1 propped the outer door open with a tool bag and entered the elevator pit. The outer door closed, while Employee #1 was in the elevator pit, trapping him in the elevator pit. The elevator activated and came down on Employee #1, causing his death from brain and other traumatic injuries.",real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,2,source_published_annotation,source_published_annotation_unreviewed
161286.015,fall,An employee working as a roofer for a roofing contractor had traveled up a low slope roof that had 8-flush mounted skylights. The employee was not using a personal fall protection system and the skylights were not protected with either guardrails or covers. The employee was tasked with identifying leaking areas for resealing. The employee had taken a video and texted it to the property owner with his observations on the roof. There were no witnesses or video footage as to what the employee was actually doing at the time. The employee fell through the northeast skylight and was found on the concrete floor of the warehouse. The employee had died from blunt force trauma to the head.,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,3,source_published_annotation,source_published_annotation_unreviewed
160487.015,struck-by,"Employee #1 and Employee #2 were employed by a construction exterior finishing contractor. Employee #1 and Employee #2 were installing OSB exterior sheeting at the ground level of the residential structure. Lumber and OSB Sheathing were being unloaded from semi-trucks with a crane to the second level of the structure. The lumber and sheathing were rigged with nylon straps which became displaced causing the load to fall on the second level of the structure. The banding on the bundle of OSB broke allowing individual sheets of lumber to slide and fall to the ground below striking Employee #1 and Employee #2. Approximately, 40 sheets of OSB fell over 15 feet striking Employee #1 and Employee #2 working below. Employee #1 was fatally injured due to blunt force trauma to the head and neck. Employee #2 received multiple severe lacerations to both arms and was hospitalized.",real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,4,source_published_annotation,source_published_annotation_unreviewed
160149.015,fall,An employee working as a roofer for a residential remodeler was working on the top of a detached garage replacing a roof. The employee was working with a crew that included two coworkers when he fell approximately 12 feet through a skylight opening. The employee was not wearing fall protection at the time of the fall and did not receive training on fall protection and the hazards associated with falls. The employee sustained a concussion and died as a result of his injuries,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,5,source_published_annotation,source_published_annotation_unreviewed
160045.015,fall,"Employee #1, a construction laborer, was operating a handheld concrete saw (14-inch blade) to cut the rebar located on the concrete floor being demolished. After the rebar was cut, chipping hammers were used to demolish the concrete floor, which would fall onto the first floor below. A concrete slab collapsed under Employee #1, falling 17 feet to the ground below. Employee #1 was tied off to a vertical metal beam using a lifeline with a rope grab, which was attached to his lanyard. His personal fall arrest system was not rigged such that he could not free fall more than 6 feet. Employee #1 was hospitalized and was taken off from life support and died due to a head injury.",real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,6,source_published_annotation,source_published_annotation_unreviewed
159955.015,struck-by,An employee operating an air wand for a road paving and surfacing company was cleaning out road cracks with compressed air. The employee was standing in front of a Ford F250 Truck towing the compressor. Coworker #1 was working from the bed of the tow vehicle operating a heat torch connected to a propane tank. Coworker #2 was operating the truck and appeared to fall asleep when he inadvertently stepped on the gas pedal. Coworker #2 lost control of the truck and ran over the employee. Coworker #1 was not injured. The employee amputated his leg and sustained multiple fractures and died.,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,7,source_published_annotation,source_published_annotation_unreviewed
160027.015,electrocution,"An employee working as a power line worker for an electrical contractor had climbed up a wooden pole using a combination of a ladder and climbing spurs. Once on top, the employee covered the electrically charged wires with electric blankets and began to change out an existing cutout underground riser switch. The employee grabbed the upper piece of the riser and was attempting to connect the lower portion of the riser. The employee removed the electrical blanket from the riser to better feel the cable while he attempted to crimp the connection. At some point during this operation, the employee contacted the upper riser with his right shoulder and was electrocuted. The wiring was rated at 7,620 volts, which entered the employee's right scapula and exited his left medial thigh causing extensive burns around the neck and back as well as the left thigh. His left thigh was torn apart and the skin was ripped open approximately 6 to 8 inches. The employee died from his injuries.",real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,8,source_published_annotation,source_published_annotation_unreviewed
159883.015,fall,An employee working as a carpenter for a construction contractor was working on a crew of with 5 coworkers setting 80-foot-long metal-connected wood trusses. The crew was working on a 250-foot by 80-foot new warehouse building constructed of masonry block walls. The employee worked with a coworker outside the building rigging trusses to fly in by crane. The bottom cords were approximately 20 feet above the concrete floor. The crew used either Genie 3232 or JCB S26 scissor lifts to access the elevated trusses for installation. The weather conditions were sunny and dry. The employee had set 21 trusses 4 feet apart from each other. The employee climbed out of a scissor lift and climbed onto one of the trusses without fall protection. He fell approximately 20 feet to a concrete surface below and died from head trauma.,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,9,source_published_annotation,source_published_annotation_unreviewed
159608.015,fall,An employee working as a construction laborer for a framing contractor was installing ceiling trusses on a multi-family residence. The employee was attaching a truss to an I-Beam. As he stepped on a truss it gave way causing employee to lose footing. The employee fell approximately 20 feet to lower ground level. The employee was wearing a Werner fall protection harness but was not tied to an anchor point. The employee died from head injuries from impact with the ground level.,real,True,sha256:9dc64febec01c93d775dd15a7f2cddb8c9d0ed710f8764fae1e6c52960606e85,10,source_published_annotation,source_published_annotation_unreviewed
